smiles,pIC50,MW,LogP,RO5
COC(=O)c1cc2cc(NCc3cc(NC(=O)c4cc(-n5cnc(C)c5)cc(C(F)(F)F)c4)ccc3C)cnc2[nH]1,6.95,562.55,6.04,2.0
O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,7.85,513.96,2.89,1.0
C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4ccncc4)ccc23)c(OC)cc1N(C)CCN(C)C,8.3,485.59,4.5,0.0
O=C(Nc1nc2ccccc2n1[C@H]1CC[C@H](O)CC1)c1cccc(C(F)(F)F)c1,5.7,403.4,4.78,0.0
Cc1ccc(Nc2cc3c(cc2Nc2ccc(C)cc2)C(=O)NC3=O)cc1,5.35,357.41,4.67,0.0
O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,5.69,549.05,6.35,2.0
CCOC(C)Oc1cc2ncnc(Nc3ccc(F)c([N+](=O)[O-])c3)c2c2c1OCCO2,6.57,430.39,3.95,0.0
Fc1ccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)cc1Cl,6.82,417.82,4.1,0.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,8.59,446.91,4.28,0.0
C#Cc1cccc(Nc2ncnc3cc(OCC)c4c(c23)OCCO4)c1,7.67,347.37,3.52,0.0
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2c2c1OCCO2,8.7,375.79,4.34,0.0
C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.48,496.41,4.38,0.0
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,8.54,444.34,3.06,0.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(=O)CO)CC4)cc3OC)ncc2C(F)(F)F)c1,8.26,571.56,3.76,1.0
CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(CC)c4)nc32)C1,6.29,616.74,4.64,1.0
CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5C[C@@H](C)N(C)[C@@H](C)C5)c(C)c4)nc32)C1,6.05,630.77,5.16,2.0
COc1ccc(-c2c3c4cc(OC)c(OCCN(C)C)cc4oc(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O.O=C(O)C(F)(F)F,6.22,684.62,5.4,2.0
Nc1nc(Nc2cccc(Cl)c2)c2c(n1)-c1ccccc1C2,4.35,308.77,4.03,0.0
COc1ccc(Nc2ncnc3cc4oc(=O)n(CCCN5CCOCC5)c4cc23)cc1,6.42,435.48,3.01,0.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,5.96,446.91,4.28,0.0
COc1ccc(OC)c(Nc2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)c1,6.54,420.52,3.73,0.0
Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCOCC4)c23)ccc1OCc1ccccn1,9.0,481.94,3.43,0.0
COc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,8.34,629.09,3.28,2.0
COc1cc(Br)c(/C=C2\CC(C)CC(=C\c3nc(C)c(C)nc3C)/C2=N/O)cc1OC,5.54,486.41,5.91,1.0
C=CC(=O)N1CCC[C@@H](n2nc(-c3cnc4[nH]ccc4c3)c3c(N)ncnc32)C1,8.0,388.44,2.3,0.0
C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(F)(F)F)c3)c3c(N)ncnc32)C1,7.52,416.41,3.44,0.0
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(N(C)C)c4ccccc34)c3c(N)ncnc32)C1,6.57,441.54,3.64,0.0
C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(F)c3)c3c(N)ncnc32)C1,6.64,366.4,2.56,0.0
CCOc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,4.5,282.3,3.56,0.0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,7.1,393.44,3.41,0.0
COc1cc(NCc2c[nH]cn2)cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc12,5.68,422.85,4.99,0.0
N#Cc1cnc2c(Br)cc(NCc3c[nH]cn3)cc2c1Nc1ccc(F)c(Cl)c1,5.48,471.72,5.74,1.0
Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)nc2[C@H]1C[C@@H](CN2CCC2)C1,5.02,460.59,5.39,1.0
CC[C@H](C)[C@@H](NC(=O)OC(C)(C)C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.26,528.45,6.01,2.0
CCc1ccc(Nc2ncnc3[nH]c(C)c(C)c23)cc1,4.11,266.35,3.88,0.0
Clc1ccccc1-c1nnc(Cc2nc3ccccc3[nH]2)o1,5.35,310.74,3.86,0.0
c1csc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)c1,4.0,282.33,3.27,0.0
COc1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,7.01,306.33,3.21,0.0
Fc1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,4.0,294.29,3.34,0.0
c1ccc2c(Cc3nnc(Cc4nc5ccccc5[nH]4)o3)cccc2c1,5.24,340.39,4.28,0.0
C1=CC2=C(Cc3nnc(Cc4nc5ccccc5[nH]4)o3)CNC2C=C1,4.06,331.38,2.47,0.0
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCc1ccccc1,6.03,308.34,2.36,0.0
Cc1[nH]c2ncnc(Nc3cccc(Cl)c3)c2c1C,7.57,272.74,3.97,0.0
